column,variable_type,variable_subtype,description,classification,transformation,status
1_LIMIT_BAL,quantitative,continuous,,,,
2_SEX,qualitative,nominal,,,,
3_EDUCATION,qualitative,ordinal,,,,
4_MARRIAGE,qualitative,nominal,,,,
5_AGE,quantitative,continuous,,,,
6_PAY_0,qualitative,ordinal,,,,
7_PAY_2,qualitative,ordinal,,,,
8_PAY_3,qualitative,ordinal,,,,
9_PAY_4,qualitative,ordinal,,,,
10_PAY_5,qualitative,ordinal,,,,
11_PAY_6,qualitative,ordinal,,,,
12_BILL_AMT1,quantitative,continuous,,,,
13_BILL_AMT2,quantitative,continuous,,,,
14_BILL_AMT3,quantitative,continuous,,,,
15_BILL_AMT4,quantitative,continuous,,,,
16_BILL_AMT5,quantitative,continuous,,,,
17_BILL_AMT6,quantitative,continuous,,,,
18_PAY_AMT1,quantitative,continuous,,,,
19_PAY_AMT2,quantitative,continuous,,,,
20_PAY_AMT3,quantitative,continuous,,,,
21_PAY_AMT4,quantitative,continuous,,,,
22_PAY_AMT5,quantitative,continuous,,,,
23_PAY_AMT6,quantitative,continuous,,,,
24_TARGET,qualitative,nominal,,,,
