column,variable_type,variable_subtype,description,classification,transformation,status
1_age,quantitative,continuous,The age of the individual in years.,DEMOGRAPHIC,,
2_workclass,qualitative,nominal,"The employment sector or status of the individual (e.g., Private, Self-employed, Government).",SOCIOECONOMIC,,
3_final_weight,quantitative,continuous,Final weight; a demographic weighting variable representing the estimated number of people in the population that this specific record represents.,ERROR,,
4_education,qualitative,ordinal,"The highest categorical level of education completed by the individual (e.g., Bachelors, HS-grad, Masters).",SOCIOECONOMIC,,
5_education_num,quantitative,continuous,"The highest level of education completed, represented as a continuous numerical value to indicate total years of schooling.",SOCIOECONOMIC,,
6_marital_status,qualitative,nominal,"The current marital situation of the individual (e.g., Married-civ-spouse, Divorced, Never-married).",DEMOGRAPHIC,,
7_occupation,qualitative,nominal,"The specific type of work, profession, or trade the individual is engaged in (e.g., Exec-managerial, Craft-repair).",SOCIOECONOMIC,,
8_relationship,qualitative,nominal,"The individual's familial relationship to the primary householder in their living unit (e.g., Husband, Wife, Own-child, Not-in-family).",DEMOGRAPHIC,,
9_race,qualitative,nominal,The reported race or ethnic categorization of the individual.,DEMOGRAPHIC,,
10_sex,qualitative,nominal,The biological sex of the individual (Female or Male).,DEMOGRAPHIC,,
11_capital_gain,quantitative,continuous,"Financial income generated from investment sources (outside of standard wage earnings), recorded as continuous capital gains.",SOCIOECONOMIC,,
12_capital_loss,quantitative,continuous,"Financial losses incurred from investment sources, recorded as continuous capital losses.",SOCIOECONOMIC,,
13_hours_per_week,quantitative,continuous,The typical number of hours the individual works per week.,SOCIOECONOMIC,,
14_native_country,qualitative,nominal,The individual's primary country of origin or birth.,ALTERNATIVE,,
15_income,quantitative,discrete,"The target variable for classification; indicates whether the individual's annual income exceeds $50,000 (>50K) or is less than or equal to $50,000 (<=50K).",SOCIOECONOMIC,,
