id_do_df,variável,descrição da variável,classificação
D07,age,The age of the individual in years.,DEMOGRAPHIC
D07,workclass,"The employment sector or status of the individual (e.g., Private, Self-employed, Government).",SOCIOECONOMIC
D07,fnlwgt,Final weight; a demographic weighting variable representing the estimated number of people in the population that this specific record represents.,UNCLASSIFIED
D07,education,"The highest categorical level of education completed by the individual (e.g., Bachelors, HS-grad, Masters).",SOCIOECONOMIC
D07,education-num,"The highest level of education completed, represented as a continuous numerical value to indicate total years of schooling.",SOCIOECONOMIC
D07,marital-status,"The current marital situation of the individual (e.g., Married-civ-spouse, Divorced, Never-married).",DEMOGRAPHIC
D07,occupation,"The specific type of work, profession, or trade the individual is engaged in (e.g., Exec-managerial, Craft-repair).",SOCIOECONOMIC
D07,relationship,"The individual's familial relationship to the primary householder in their living unit (e.g., Husband, Wife, Own-child, Not-in-family).",DEMOGRAPHIC
D07,race,The reported race or ethnic categorization of the individual.,DEMOGRAPHIC
D07,sex,The biological sex of the individual (Female or Male).,DEMOGRAPHIC
D07,capital-gain,"Financial income generated from investment sources (outside of standard wage earnings), recorded as continuous capital gains.",SOCIOECONOMIC
D07,capital-loss,"Financial losses incurred from investment sources, recorded as continuous capital losses.",SOCIOECONOMIC
D07,hours-per-week,The typical number of hours the individual works per week.,SOCIOECONOMIC
D07,native-country,The individual's primary country of origin or birth.,ALTERNATIVE
D07,income,"The target variable for classification; indicates whether the individual's annual income exceeds $50,000 (>50K) or is less than or equal to $50,000 (<=50K).",SOCIOECONOMIC
