id_do_df,variável,descrição da variável,classificação
D15,ListingKey,"Unique key for each listing, same value as the 'key' used in the listing object in the API.",UNCLASSIFIED
D15,ListingNumber,The number that uniquely identifies the listing to the public as displayed on the website.,UNCLASSIFIED
D15,ListingCreationDate,The date the listing was created.,UNCLASSIFIED
D15,CreditGrade,The Credit rating that was assigned at the time the listing went live. Applicable for listings pre-2009 period and will only be populated for those listings.,INSTITUTIONAL and FINANCIAL
D15,Term,The length of the loan expressed in months.,INSTITUTIONAL and FINANCIAL
D15,LoanStatus,"The current status of the loan: Cancelled, Chargedoff, Completed, Current, Defaulted, FinalPaymentInProgress, PastDue. The PastDue status will be accompanied by a delinquency bucket.",INSTITUTIONAL and FINANCIAL
D15,ClosedDate,"Closed date is applicable for Cancelled, Completed, Chargedoff and Defaulted loan statuses.",UNCLASSIFIED
D15,BorrowerAPR,The Borrower's Annual Percentage Rate (APR) for the loan.,INSTITUTIONAL and FINANCIAL
D15,BorrowerRate,The Borrower's interest rate for this loan.,INSTITUTIONAL and FINANCIAL
D15,LenderYield,The Lender yield on the loan. Lender yield is equal to the interest rate on the loan less the servicing fee.,INSTITUTIONAL and FINANCIAL
D15,EstimatedEffectiveYield,"Effective yield is equal to the borrower interest rate (i) minus the servicing fee rate, (ii) minus estimated uncollected interest on charge-offs, (iii) plus estimated collected late fees. Applicable for loans originated after July 2009.",INSTITUTIONAL and FINANCIAL
D15,EstimatedLoss,Estimated loss is the estimated principal loss on charge-offs. Applicable for loans originated after July 2009.,INSTITUTIONAL and FINANCIAL
D15,EstimatedReturn,The estimated return assigned to the listing at the time it was created. Estimated return is the difference between the Estimated Effective Yield and the Estimated Loss Rate. Applicable for loans originated after July 2009.,INSTITUTIONAL and FINANCIAL
D15,ProsperRating (numeric),"The Prosper Rating assigned at the time the listing was created: 0 - N/A, 1 - HR, 2 - E, 3 - D, 4 - C, 5 - B, 6 - A, 7 - AA. Applicable for loans originated after July 2009.",INSTITUTIONAL and FINANCIAL
D15,ProsperRating (Alpha),The Prosper Rating assigned at the time the listing was created between AA - HR. Applicable for loans originated after July 2009.,INSTITUTIONAL and FINANCIAL
D15,ProsperScore,"A custom risk score built using historical Prosper data. The score ranges from 1-10, with 10 being the best, or lowest risk score. Applicable for loans originated after July 2009.",INSTITUTIONAL and FINANCIAL
D15,ListingCategory,"The category of the listing that the borrower selected when posting their listing: 0 - Not Available, 1 - Debt Consolidation, 2 - Home Improvement, 3 - Business, 4 - Personal Loan, 5 - Student Use, 6 - Auto, 7- Other, 8 - Baby&Adoption, 9 - Boat, 10 - Cosmetic Procedure, 11 - Engagement Ring, 12 - Green Loans, 13 - Household Expenses, 14 - Large Purchases, 15 - Medical/Dental, 16 - Motorcycle, 17 - RV, 18 - Taxes, 19 - Vacation, 20 - Wedding Loans","VALUES, ATTITUDES and BEHAVIORAL"
D15,BorrowerState,The two letter abbreviation of the state of the address of the borrower at the time the Listing was created.,ALTERNATIVE
D15,Occupation,The Occupation selected by the Borrower at the time they created the listing.,SOCIOECONOMIC
D15,EmploymentStatus,The employment status of the borrower at the time they posted the listing.,SOCIOECONOMIC
D15,EmploymentStatusDuration,The length in months of the employment status at the time the listing was created.,SOCIOECONOMIC
D15,IsBorrowerHomeowner,A Borrower will be classified as a homowner if they have a mortgage on their credit profile or provide documentation confirming they are a homeowner.,SOCIOECONOMIC
D15,CurrentlyInGroup,Specifies whether or not the Borrower was in a group at the time the listing was created.,ALTERNATIVE
D15,GroupKey,The Key of the group in which the Borrower is a member of. Value will be null if the borrower does not have a group affiliation.,UNCLASSIFIED
D15,DateCreditPulled,The date the credit profile was pulled.,UNCLASSIFIED
D15,CreditScoreRangeLower,The lower value representing the range of the borrower's credit score as provided by a consumer credit rating agency.,INSTITUTIONAL and FINANCIAL
D15,CreditScoreRangeUpper,The upper value representing the range of the borrower's credit score as provided by a consumer credit rating agency.,INSTITUTIONAL and FINANCIAL
D15,FirstRecordedCreditLine,The date the first credit line was opened.,UNCLASSIFIED
